targeting_type,count,percent,name
Age/Gender,2434,99.96,The New York Times
Location,2431,99.84,The New York Times
Custom Audience: Datafile,1392,57.17,The New York Times
Interests,572,23.49,The New York Times
Locale,455,18.69,The New York Times
Custom Audience: Lookalike,88,3.61,The New York Times
Custom Audience: Engagement (Page),41,1.68,The New York Times
Custom Audience: Website,10,0.41,The New York Times
Custom Audience: Engagement (IG),3,0.12,The New York Times
Age/Gender,214,100.0,The Daily Wire
Location,214,100.0,The Daily Wire
Interests,84,39.25,The Daily Wire
Custom Audience: Lookalike,81,37.85,The Daily Wire
BCT,48,22.43,The Daily Wire
Custom Audience: Website,18,8.41,The Daily Wire
Custom Audience: Engagement (Page),8,3.74,The Daily Wire
Custom Audience: Engagement (IG),1,0.47,The Daily Wire